seed	vcfsim_pi
1942	0.00330105
1943	0.00855211
1944	0.0106595
1945	0.00455053
1946	0.00728263
1947	0.00469263
1948	0.00449632
1949	0.00418316
1950	0.00631263
1951	0.00222842
1952	0.00630684
1953	0.00826579
1954	0.00503737
1955	0.00360053
1956	0.0114711
1957	0.00451684
1958	0.00454368
1959	0.00347737
1960	0.00458211
1961	0.00611105
1962	0.00539263
1963	0.00673526
1964	0.0110353
1965	0.00833632
1966	0.00530632
1967	0.00623579
1968	0.00407316
1969	0.00318316
1970	0.00467474
1971	0.0067
1972	0.00157474
1973	0.00600789
1974	0.00589211
1975	0.0129626
1976	0.00514421
1977	0.00541474
1978	0.00418053
1979	0.00683053
1980	0.00419579
1981	0.00614632
1982	0.00586632
1983	0.00638211
1984	0.00674105
1985	0.00941053
1986	0.00788526
1987	0.00573526
1988	0.00377737
1989	0.00668684
1990	0.00720526
1991	0.00746
1992	0.0135921
1993	0.00795421
1994	0.00331053
1995	0.00599053
1996	0.00454421
1997	0.00701579
1998	0.0108389
1999	0.00770368
2000	0.00726
2001	0.00502368
2002	0.00464895
2003	0.00704474
2004	0.00518789
2005	0.00522158
2006	0.00559053
2007	0.00860421
2008	0.00708316
2009	0.00632579
2010	0.00856263
2011	0.00920737
2012	0.00526158
2013	0.00323368
2014	0.00611421
2015	0.00811789
2016	0.00582526
2017	0.00293
2018	0.00940211
2019	0.00352421
2020	0.00533895
2021	0.00751263
2022	0.00575263
2023	0.00738632
2024	0.00420316
2025	0.00513053
2026	0.00337263
2027	0.00726421
2028	0.00597737
2029	0.00797895
2030	0.00423842
2031	0.00381
2032	0.00669632
2033	0.00462789
2034	0.00426842
2035	0.00582158
2036	0.00572737
2037	0.00373947
2038	0.00396632
2039	0.00474263
2040	0.00850421
2041	0.00697
2042	0.00474316
2043	0.0129
2044	0.0100637
2045	0.00781684
2046	0.00531632
2047	0.00741526
2048	0.0103674
2049	0.00868579
2050	0.0116426
2051	0.00946158
2052	0.00462579
2053	0.00747842
2054	0.00593
2055	0.00929526
2056	0.0135558
2057	0.00773211
2058	0.00399421
2059	0.0112221
2060	0.00693842
2061	0.00521105
2062	0.00662632
2063	0.00718895
2064	0.0116053
2065	0.00463211
2066	0.00339842
2067	0.00409842
2068	0.00590737
2069	0.0106832
2070	0.0145389
2071	0.0173132
2072	0.0048
2073	0.00366105
2074	0.00277368
2075	0.00344895
2076	0.00388947
2077	0.00380053
2078	0.00487526
2079	0.00878632
2080	0.00690053
2081	0.00682368
2082	0.00447526
2083	0.00214947
2084	0.00505421
2085	0.00888947
2086	0.00362947
2087	0.00339895
2088	0.00490737
2089	0.00572211
2090	0.00430053
2091	0.0114121
2092	0.00427211
2093	0.00931842
2094	0.00457684
2095	0.00418263
2096	0.00468684
2097	0.00556316
2098	0.00558895
2099	0.00866842
2100	0.00354421
2101	0.00771316
2102	0.00131842
2103	0.00605211
2104	0.00397
2105	0.00689947
2106	0.00369421
2107	0.00507474
2108	0.00994632
2109	0.00678684
2110	0.00441316
2111	0.00647737
2112	0.00390526
2113	0.00841105
2114	0.0124237
2115	0.00406211
2116	0.0136679
2117	0.0103805
2118	0.00605105
2119	0.00530368
2120	0.00415
2121	0.00436421
2122	0.00599263
2123	0.00744684
2124	0.00927158
2125	0.0139358
2126	0.00937895
2127	0.00990474
2128	0.00567737
2129	0.0100858
2130	0.00352474
2131	0.00343105
2132	0.00261684
2133	0.00442
2134	0.00657684
2135	0.00739632
2136	0.0118532
2137	0.00756316
2138	0.00826368
2139	0.00647684
2140	0.00320947
2141	0.0128747
2142	0.00955421
2143	0.00339421
2144	0.00640526
2145	0.00734158
2146	0.00968316
2147	0.00333211
2148	0.00438947
2149	0.00366895
2150	0.00418105
2151	0.00854947
2152	0.00635789
2153	0.00612158
2154	0.00489211
2155	0.00309737
2156	0.00626368
2157	0.00708053
2158	0.00626684
2159	0.00487368
2160	0.01028
2161	0.00444789
2162	0.00657895
2163	0.00690316
2164	0.00502053
2165	0.00516
2166	0.00802158
2167	0.00536789
2168	0.00505368
2169	0.00371211
2170	0.00707632
2171	0.00505053
2172	0.00753579
2173	0.00771474
2174	0.00907105
2175	0.00474737
2176	0.00804
2177	0.00835053
2178	0.00850842
2179	0.00323316
2180	0.00658158
2181	0.00418947
2182	0.00522895
2183	0.00884842
2184	0.00533263
2185	0.00460579
2186	0.00946895
2187	0.00779789
2188	0.00351263
2189	0.00496526
2190	0.00581737
2191	0.00811053
2192	0.00290737
2193	0.00750737
2194	0.00643368
2195	0.00486579
2196	0.0103242
2197	0.0119868
2198	0.00573316
2199	0.00206789
2200	0.00329368
2201	0.00484368
2202	0.00960526
2203	0.0125532
2204	0.00320158
2205	0.00598105
2206	0.00845368
2207	0.00889474
2208	0.00984316
2209	0.00695895
2210	0.00459684
2211	0.0120153
2212	0.00443
2213	0.0127374
2214	0.00374158
2215	0.00666684
2216	0.00515684
2217	0.00332684
2218	0.00944368
2219	0.00415789
2220	0.00254053
2221	0.00417895
2222	0.0133179
2223	0.00410895
2224	0.00538895
2225	0.00537684
2226	0.0105984
2227	0.00898
2228	0.00427474
2229	0.00523211
2230	0.00898632
2231	0.00514421
2232	0.00426579
2233	0.00832474
2234	0.00660158
2235	0.00629526
2236	0.0105284
2237	0.00383632
2238	0.00379632
2239	0.00344211
2240	0.00706526
2241	0.00610158
2242	0.0111937
2243	0.00500421
2244	0.0114884
2245	0.00368474
2246	0.00409
2247	0.00343316
2248	0.0126089
2249	0.00706211
2250	0.0111826
2251	0.00332737
2252	0.00420316
2253	0.00704
2254	0.00595316
2255	0.00920105
2256	0.00320526
2257	0.00394737
2258	0.00557053
2259	0.00596316
2260	0.00508526
2261	0.00504579
2262	0.00684579
2263	0.00183421
2264	0.00789526
2265	0.00465474
2266	0.00725368
2267	0.00293421
2268	0.0106353
2269	0.00543211
2270	0.00812474
2271	0.00713053
2272	0.00295579
2273	0.00684684
2274	0.00529816
2275	0.00324316
2276	0.00513211
2277	0.00658474
2278	0.00839842
2279	0.00914474
2280	0.00440474
2281	0.00400211
2282	0.0150874
2283	0.00293368
2284	0.00554105
2285	0.00451474
2286	0.00425895
2287	0.00584632
2288	0.00535947
2289	0.00695211
2290	0.00233421
2291	0.00695895
2292	0.00358684
2293	0.00759947
2294	0.00320211
2295	0.00570737
2296	0.00802263
2297	0.0147347
2298	0.00693842
2299	0.00474947
2300	0.00415789
2301	0.00959737
2302	0.00877105
2303	0.00648789
2304	0.00961684
2305	0.00589737
2306	0.0124679
2307	0.00373368
2308	0.00801579
2309	0.00556474
2310	0.00675105
2311	0.00798263
2312	0.00630526
2313	0.00308
2314	0.0116921
2315	0.00683184
2316	0.00672842
2317	0.0104463
2318	0.00997632
2319	0.0129911
2320	0.00372368
2321	0.00356263
2322	0.0137242
2323	0.00388632
2324	0.00610842
2325	0.00443789
2326	0.00572421
2327	0.00609053
2328	0.0115658
2329	0.00542105
2330	0.00417947
2331	0.00587526
2332	0.00566579
2333	0.00312789
2334	0.00257789
2335	0.00419053
2336	0.0111826
2337	0.00502316
2338	0.00525421
2339	0.00310211
2340	0.00511158
2341	0.00218737
2342	0.00362684
2343	0.00989842
2344	0.00355211
2345	0.00991316
2346	0.00423474
2347	0.00655316
2348	0.0109847
2349	0.00547789
2350	0.00356053
2351	0.00478684
2352	0.00537579
2353	0.0113553
2354	0.00525895
2355	0.0132642
2356	0.00342947
2357	0.00714211
2358	0.00807474
2359	0.00787737
2360	0.00609
2361	0.00431316
2362	0.00375
2363	0.0107458
2364	0.00738526
2365	0.00570105
2366	0.00539263
2367	0.00597158
2368	0.00605684
2369	0.00299316
2370	0.00735895
2371	0.00908789
2372	0.00978158
2373	0.00354211
2374	0.00442842
2375	0.00588
2376	0.00574105
2377	0.00397368
2378	0.00708211
2379	0.0108663
2380	0.00853211
2381	0.00931895
2382	0.00537316
2383	0.00556632
2384	0.00313789
2385	0.00804737
2386	0.00544474
2387	0.00299579
2388	0.00538263
2389	0.00372947
2390	0.00742368
2391	0.00411316
2392	0.00713
2393	0.00554158
2394	0.0104168
2395	0.00412842
2396	0.00476316
2397	0.00511579
2398	0.00670263
2399	0.00455158
2400	0.00430526
2401	0.0131884
2402	0.00594316
2403	0.00672737
2404	0.00313526
2405	0.00780737
2406	0.00484632
2407	0.00703947
2408	0.0146226
2409	0.00372474
2410	0.00736526
2411	0.00807789
2412	0.00344789
2413	0.00360684
2414	0.00390947
2415	0.00748526
2416	0.00334211
2417	0.00504737
2418	0.00312263
2419	0.00536211
2420	0.00411526
2421	0.00247947
2422	0.00434158
2423	0.00670947
2424	0.00430789
2425	0.00606
2426	0.00706158
2427	0.00702368
2428	0.00504789
2429	0.00468158
2430	0.00823105
2431	0.00483684
2432	0.00250947
2433	0.00312947
2434	0.00468895
2435	0.00547579
2436	0.00234263
2437	0.00407526
2438	0.0146953
2439	0.0122921
2440	0.00370895
2441	0.0134611
2442	0.00703
2443	0.00838789
